vulnerability_id,system,severity,status,control_id,control_name,days_to_remediate_or_open,remediation_sla_days,evidence_id,evidence_status,exception_id,reason_code,reason_description,framework,framework_requirement,requirement_title
CVE-2026-1004,legacy-app-01,CRITICAL,FAIL,VM-01,Timely vulnerability remediation,83,30,SCAN-700,CURRENT,EXC-44,OPEN_ITEM_WITHOUT_EXCEPTION,The open overdue item does not have a valid approved exception.,Internal Vulnerability Remediation Policy,VM-01,Timely remediation and evidence retention
CVE-2026-1005,internal-tool-01,MEDIUM,FAIL,VM-01,Timely vulnerability remediation,113,90,SCAN-500,CURRENT,,REMEDIATION_SLA_EXCEEDED,The vulnerability exceeded the configured remediation SLA.,Internal Vulnerability Remediation Policy,VM-01,Timely remediation and evidence retention
CVE-2026-1005,internal-tool-01,MEDIUM,FAIL,VM-01,Timely vulnerability remediation,113,90,SCAN-500,CURRENT,,OPEN_ITEM_WITHOUT_EXCEPTION,The open overdue item does not have a valid approved exception.,Internal Vulnerability Remediation Policy,VM-01,Timely remediation and evidence retention
CVE-2026-1006,auth-service-01,HIGH,FAIL,VM-01,Timely vulnerability remediation,8,60,CHG-1099,INVALID,,EVIDENCE_BEFORE_REMEDIATION,"For a remediated item, the evidence predates remediation.",Internal Vulnerability Remediation Policy,VM-01,Timely remediation and evidence retention
CVE-2026-1007,web-app-03,HIGH,PASS,VM-01,Timely vulnerability remediation,40,60,CHG-1100,CURRENT,,,,Internal Vulnerability Remediation Policy,VM-01,Timely remediation and evidence retention
CVE-2026-1008,card-worker-01,CRITICAL,PASS,VM-01,Timely vulnerability remediation,14,30,CHG-1101,CURRENT,,,,PCI DSS v4.0.1,6.3.3,Applicable security patches and updates are installed
CVE-2026-1008,card-worker-01,CRITICAL,PASS,VM-01,Timely vulnerability remediation,14,30,CHG-1101,CURRENT,,,,Internal Vulnerability Remediation Policy,VM-01,Timely remediation and evidence retention
CVE-2026-1009,card-worker-02,CRITICAL,FAIL,VM-01,Timely vulnerability remediation,40,30,CHG-1102,CURRENT,,REMEDIATION_SLA_EXCEEDED,The vulnerability exceeded the configured remediation SLA.,PCI DSS v4.0.1,6.3.3,Applicable security patches and updates are installed
CVE-2026-1009,card-worker-02,CRITICAL,FAIL,VM-01,Timely vulnerability remediation,40,30,CHG-1102,CURRENT,,REMEDIATION_SLA_EXCEEDED,The vulnerability exceeded the configured remediation SLA.,Internal Vulnerability Remediation Policy,VM-01,Timely remediation and evidence retention
CVE-2026-1010,billing-api-01,HIGH,PASS,VM-01,Timely vulnerability remediation,33,60,SCAN-901,CURRENT,,,,Internal Vulnerability Remediation Policy,VM-01,Timely remediation and evidence retention
CVE-2026-1011,reporting-db-01,HIGH,FAIL,VM-01,Timely vulnerability remediation,28,60,CHG-1110,CURRENT,,MISSING_REMEDIATION_DATE,The item is marked remediated but has no remediation date.,Internal Vulnerability Remediation Policy,VM-01,Timely remediation and evidence retention
CVE-2026-1012,token-service-01,CRITICAL,FAIL,VM-01,Timely vulnerability remediation,,30,SCAN-920,CURRENT,,MISSING_DISCOVERY_DATE,The discovery date required to calculate remediation timeliness is missing.,PCI DSS v4.0.1,6.3.3,Applicable security patches and updates are installed
CVE-2026-1012,token-service-01,CRITICAL,FAIL,VM-01,Timely vulnerability remediation,,30,SCAN-920,CURRENT,,MISSING_DISCOVERY_DATE,The discovery date required to calculate remediation timeliness is missing.,Internal Vulnerability Remediation Policy,VM-01,Timely remediation and evidence retention
CVE-2026-1013,portal-web-01,HIGH,FAIL,VM-01,Timely vulnerability remediation,13,60,CHG-1120,INVALID,,EVIDENCE_DATE_IN_FUTURE,The evidence date is after the assessment date.,Internal Vulnerability Remediation Policy,VM-01,Timely remediation and evidence retention
CVE-2026-1014,analytics-worker-01,MEDIUM,FAIL,VM-01,Timely vulnerability remediation,45,90,CHG-1130,STALE,,STALE_EVIDENCE,The evidence is older than the configured freshness threshold.,Internal Vulnerability Remediation Policy,VM-01,Timely remediation and evidence retention
CVE-2026-1015,inventory-api-01,MEDIUM,FAIL,VM-01,Timely vulnerability remediation,144,90,SCAN-930,CURRENT,,REMEDIATION_SLA_EXCEEDED,The vulnerability exceeded the configured remediation SLA.,Internal Vulnerability Remediation Policy,VM-01,Timely remediation and evidence retention
CVE-2026-1015,inventory-api-01,MEDIUM,FAIL,VM-01,Timely vulnerability remediation,144,90,SCAN-930,CURRENT,,OPEN_ITEM_WITHOUT_EXCEPTION,The open overdue item does not have a valid approved exception.,Internal Vulnerability Remediation Policy,VM-01,Timely remediation and evidence retention
CVE-2026-1016,archive-service-01,LOW,FAIL,VM-01,Timely vulnerability remediation,122,180,CHG-1140,STALE,,STALE_EVIDENCE,The evidence is older than the configured freshness threshold.,Internal Vulnerability Remediation Policy,VM-01,Timely remediation and evidence retention
CVE-2026-1017,legacy-reporting-01,LOW,FAIL,VM-01,Timely vulnerability remediation,264,180,SCAN-940,CURRENT,,REMEDIATION_SLA_EXCEEDED,The vulnerability exceeded the configured remediation SLA.,Internal Vulnerability Remediation Policy,VM-01,Timely remediation and evidence retention
CVE-2026-1017,legacy-reporting-01,LOW,FAIL,VM-01,Timely vulnerability remediation,264,180,SCAN-940,CURRENT,,OPEN_ITEM_WITHOUT_EXCEPTION,The open overdue item does not have a valid approved exception.,Internal Vulnerability Remediation Policy,VM-01,Timely remediation and evidence retention
CVE-2026-1018,customer-portal-02,MEDIUM,EXCEPTION,VM-01,Timely vulnerability remediation,130,90,SCAN-950,CURRENT,EXC-95,REMEDIATION_SLA_EXCEEDED,The vulnerability exceeded the configured remediation SLA.,Internal Vulnerability Remediation Policy,VM-01,Timely remediation and evidence retention
CVE-2026-1019,batch-runner-01,LOW,FAIL,VM-01,Timely vulnerability remediation,193,180,CHG-1150,CURRENT,,REMEDIATION_SLA_EXCEEDED,The vulnerability exceeded the configured remediation SLA.,Internal Vulnerability Remediation Policy,VM-01,Timely remediation and evidence retention
